iso3,year,country,gdp_per_capita_usd,school_enroll_tertiary_pct,emp_agriculture_pct,gdp_per_worker_ppp_const,emp_industry_pct,emp_services_pct,lfpr_total_pct,unemp_total_pct,labor_force_thousands,unemployed_thousands
LAO,2020,Lao PDR,2583.7773069613104,12.5843343734741,66.3492866735437,19054.45831200769,8.14246417148381,25.5082491549725,62.838,2.361,,
LAO,2021,Lao PDR,2526.0510501852928,12.4585027694702,67.7823595997367,18667.008947513303,7.78039448577865,24.4372459144847,64.311,2.066,,
LAO,2022,Lao PDR,2046.4044025562052,13.6964569091797,69.5659873811309,18166.658993120163,7.17838785914774,23.2556247597214,66.001,1.2090504809823972,,
LAO,2023,Lao PDR,2066.949797769571,14.901439666748,69.6416786981242,18493.20084150759,7.33316618973104,23.0251551121447,65.977,1.188,,
LBN,2000,Lebanon,3986.835139410256,28.1529998779297,6.10368202696696,42176.607475809345,23.8567329840111,70.0395849890219,44.084,8.603,,
LBN,2001,Lebanon,4009.5592975110153,31.8894596099854,5.93441146729062,42663.56417578048,23.7346934256464,70.330895107063,44.083,8.464,,
LBN,2002,Lebanon,4290.852838032664,33.2756004333496,5.76121117853394,43047.827397191926,23.4911475535755,70.7476412678905,44.088,8.229,,
LBN,2003,Lebanon,4437.715885075258,33.0192985534668,5.58750975800156,43355.28052245742,23.2860265417642,71.1263856362217,44.105,8.05,,
LBN,2004,Lebanon,4600.683714129933,34.8871803283691,5.36701492900806,45092.12816824198,23.2134050558925,71.4195800150995,44.02,7.853347414287734,3607.71,283.32599999999996
LBN,2005,Lebanon,4602.198046379449,36.9148597717285,5.22140410792116,45584.80961504071,23.0241690462079,71.7543519193551,43.813,8.247,,
LBN,2006,Lebanon,4635.251411748604,38.1570205688477,5.11146805525967,45543.22652169947,22.7947252533398,72.0938066914005,43.606,8.671,,
LBN,2007,Lebanon,5125.25809960149,40.6457481384277,4.87302567543919,48835.85641682977,23.0002935906132,72.1266807339476,43.4,8.984084122942155,3686.318999999999,331.182
LBN,2016,Lebanon,8089.012088155,42.1090087890625,3.70847861349095,49356.0004133992,21.9676630930588,74.3238582934502,47.513,9.786,,
LBN,2017,Lebanon,8608.21084982387,43.9945793151855,3.6149478262934,51278.021503096235,21.6651200526847,74.7199321210219,47.973,10.251,,
LBN,2018,Lebanon,9174.536662047589,47.2751083374023,3.54795921466976,51949.656122681554,21.2254038057853,75.226636979545,48.433,10.745,,
LBN,2019,Lebanon,8905.880054974366,50.3490180969238,3.56320221230512,50086.979540283966,20.5348059955235,75.9019365949379,48.894,11.30090851346195,5393.646000000001,609.531
LBN,2020,Lebanon,5561.19166950397,51.6985816955566,3.62426829714879,44268.4905165187,20.5810299421713,75.7947017606799,45.219,13.284,,
LBN,2021,Lebanon,4045.3739106623375,58.4441413879395,3.59672922530407,40045.26312359839,20.7218090687686,75.6814617059273,45.813,12.669,,
LBN,2022,Lebanon,3654.358455348785,61.5956115722656,3.47633961054941,38899.23295767221,20.5080313784087,76.0156290110419,45.828,11.6,,
LBN,2023,Lebanon,3477.7248984268376,60.1667213439941,3.44330596552846,38139.787243081075,20.3260465241022,76.2306475103693,45.827,11.543,,
LBR,2000,Liberia,298.48534057894545,18.0450897216797,51.8261661839451,4349.085185111447,11.1921698140959,36.981664001959,77.14,2.231,,
LBR,2001,Liberia,300.46382859898296,,51.4676667217222,4345.251940353276,11.1988311766495,37.3334249210056,77.122,2.294,,
LBR,2002,Liberia,299.5364455396212,,50.8332913637023,4391.304150783493,11.2533986004945,37.9133100358032,77.11,2.318,,
LBR,2003,Liberia,239.7795566770913,,53.2131738783273,3050.969832674935,10.7010099016415,36.0858162200312,77.107,2.586,,
LBR,2004,Liberia,284.1402239924584,,52.5368618864389,3094.629346242742,10.6888940288658,36.7743179821272,77.111,2.589,,
LBR,2005,Liberia,287.4873334413809,,51.9060192164638,3117.5878267671087,10.7234175550345,37.3705632285017,77.124,2.577,,
LBR,2006,Liberia,320.55808618514965,,51.0779809165808,3179.3644825431043,10.8210569031893,38.1010289241415,77.145,2.283,,
LBR,2007,Liberia,374.2113081042777,,49.9757541785115,3316.070106377409,10.9455743272658,39.0786714942226,77.169,2.235,,
LBR,2016,Liberia,714.6130631456588,,41.6543780219931,3840.433592014346,8.49560124320868,49.8500207347983,76.937,3.0806063857264907,5435.748,167.454
LBR,2017,Liberia,699.2690957274035,,40.616884358685,3851.2797796140017,8.22153907938269,51.1615765619323,76.902,5.930731326881491,3300.4530000000004,195.741
LBR,2018,Liberia,692.2031271297944,,40.1033385584042,3810.662682382527,8.09658400080808,51.800030677027,76.856,3.056,,
LBR,2019,Liberia,658.1641807705065,,40.1748313427775,3632.1359747656975,7.94427845053803,51.8808902066845,76.793,3.068,,
LBR,2020,Liberia,616.787867006715,,40.3009314978904,3501.930463153592,8.14467965283423,51.5543888492754,76.063,4.109,,
LBR,2021,Liberia,667.9661051431905,,40.1252983031717,3552.533379961281,8.15948588726488,51.7152158095634,76.316,3.845,,
LBR,2022,Liberia,744.617175237387,,39.4546846292592,3560.5942216866288,8.15056414973826,52.3947512210025,76.798,2.977,,
LBR,2023,Liberia,799.1944702296419,,38.8656239906076,3613.202663428064,8.20670077887462,52.9276752305178,76.834,2.933,,
LBY,2000,Libya,7214.100403770844,53.0212211608887,12.9774677517577,69477.59853746528,27.8639576297773,59.158574618465,46.445,19.201,,
LBY,2001,Libya,6312.8003049896515,56.8616981506348,12.8770634023655,66903.42498331495,27.4490580017394,59.673806240241,46.338,19.228,,
LBY,2002,Libya,3718.2943469675506,60.7621116638184,12.9494899996884,64849.247044433214,27.1215786357881,59.9289313645235,46.314,19.247,,
LBY,2003,Libya,4674.099432003214,61.6012802124023,12.4292334820612,71429.30665663381,27.3939494325221,60.1767480701609,46.365,19.045,,
LBY,2004,Libya,5773.763332342814,,12.1243361638627,72706.17748807144,27.3782600011701,60.4974038349672,46.467,18.911,,
LBY,2005,Libya,8079.249573290012,,11.6067733040748,79084.47386981199,27.7490474755077,60.6441792204175,46.593,18.639,,
LBY,2006,Libya,10048.84804342891,,11.2344519976269,81821.03948861411,28.022229308183,60.7433186941901,46.929,18.779,,
LBY,2007,Libya,11144.94484134354,,10.7910347032288,83799.96029897258,27.9076034035694,61.3013618932018,47.434,18.745,,
LBY,2016,Libya,7525.8029930821585,,9.71406319842264,43026.39202794617,22.889642709256,67.3962392468621,49.412,19.522,,
LBY,2017,Libya,9965.832367297568,,9.20354493446706,55587.6713587312,23.8861111452795,66.9103439202534,49.38,19.02,,
LBY,2018,Libya,11196.585481084374,,8.9795165024543,58661.902959081606,24.1349309095016,66.8855525880441,49.34,18.836,,
LBY,2019,Libya,9963.194890844828,,9.0613122393034,51242.45684600828,23.4479584016952,67.4907293590014,49.281,19.05,,
LBY,2020,Libya,6650.338105853479,,9.18515704075759,36185.09258046974,23.1897040819374,67.6251388773051,48.621,19.613,,
LBY,2021,Libya,4935.827873498015,,9.11023248933828,45229.50090921053,23.3589481944657,67.530819316196,48.995,19.641,,
