country,year,age_band,value_lf,value_unemp,unemployment_rate
Antigua and Barbuda,2018,45-54,23.632,0.9259999999999999,3.9184157075152335
Antigua and Barbuda,2018,55-64,21.69,0.9510000000000001,4.384508990318119
Antigua and Barbuda,2018,,156.888,13.773,8.778874101269695
Antigua and Barbuda,2023,15-24,30.436,4.745,15.590090682087002
Antigua and Barbuda,2023,25-34,28.7,1.806,6.2926829268292686
Antigua and Barbuda,2023,35-44,26.688,0.948,3.552158273381295
Antigua and Barbuda,2023,45-54,19.722,0.6739999999999999,3.417503295811783
Antigua and Barbuda,2023,55-64,20.068,0.47000000000000003,2.342037073948575
Antigua and Barbuda,2023,,177.543,9.533999999999999,5.369966712289417
Argentina,1977,15-24,9388.0,226.72,2.4149978696207923
Argentina,1977,25-34,5947.0,41.176,0.692382713973432
Argentina,1977,45-54,2642.0,21.526,0.8147615442846328
Argentina,1977,,29844.0,309.9,1.038399678327302
Argentina,1978,15-24,9408.0,206.028,2.1899234693877547
Argentina,1978,25-34,6044.0,49.566,0.8200860357379219
Argentina,1978,45-54,2688.0,15.176,0.5645833333333333
Argentina,1978,55-64,2167.0,10.758,0.4964467005076142
Argentina,1978,,30213.0,304.79999999999995,1.008837255486049
Argentina,1979,15-24,9424.0,160.604,1.7042020373514433
Argentina,1979,25-34,6140.0,24.214,0.39436482084690555
Argentina,1979,45-54,2732.0,18.81,0.688506588579795
Argentina,1979,,30567.0,208.5,0.6821081558543527
Argentina,1980,15-24,9379.276,164.3,1.751734355615508
Argentina,1980,25-34,4062.741,43.176,1.0627308016927488
Argentina,1980,35-44,3096.235,16.456,0.5314842058177108
Argentina,1980,45-54,2540.572,16.196,0.6374942335820437
Argentina,1980,55-64,2081.924,9.524999999999999,0.4575094960238702
Argentina,1980,,29900.399999999998,246.48600000000002,0.8243568647911067
Argentina,1985,15-24,10344.6,380.988,3.682965025230555
Argentina,1985,25-34,4583.871,123.094,2.6853722541493856
Argentina,1985,35-44,3561.875,56.48,1.5856816985436042
Argentina,1985,45-54,2694.5,47.258,1.7538689923919097
Argentina,1985,55-64,2475.725,22.71,0.9173070514697715
Argentina,1985,,33772.752,648.693,1.9207584860126292
Argentina,1987,15-24,10656.0,580.436,5.447034534534534
Argentina,1987,35-44,3857.0,91.4,2.3697173969406276
Argentina,1987,45-54,2773.0,53.736,1.937829065993509
Argentina,1987,65+,996.0,37.518,3.766867469879518
Argentina,1987,,34776.0,691.4010000000001,1.988155624568668
Argentina,1989,15-24,11021.356,823.792,7.474506766680979
Argentina,1989,35-44,4074.0150000000003,128.438,3.152614803823746
Argentina,1989,45-54,2807.736,76.086,2.709870158732872
Argentina,1989,65+,1046.5049999999999,17.829,1.703670789915003
Argentina,1989,,35805.090000000004,1003.983,2.80402311514927
Argentina,2004,15-24,7866.908,2306.808,29.322930940593178
Argentina,2004,25-34,5616.598,681.85,12.13991102799239
Argentina,2004,35-44,4684.844,393.416,8.397632877423453
Argentina,2004,45-54,4037.35,344.162,8.524452920851548
Argentina,2004,55-64,3523.866,360.301,10.224594238259911
Argentina,2004,65+,1173.291,121.803,10.381312053020094
Argentina,2004,,32105.526,4341.351,13.522130115544591
Argentina,2005,15-24,7522.544,1958.14,26.030289753040993
Argentina,2005,25-34,5651.74,580.696,10.274641083984756
Argentina,2005,35-44,4768.712,316.159,6.629861480416515
Argentina,2005,45-54,4050.25,311.611,7.693623850379606
Argentina,2005,55-64,3666.732,316.073,8.620019134204519
Argentina,2005,65+,1277.487,118.14000000000001,9.24784361797811
Argentina,2005,,32292.18,3715.521,11.505946640951462
Argentina,2006,15-24,7604.244,1799.096,23.659104047687055
